,Name,Explanation,backbone,batch_size,dataset,epochs,frozen_feature_extractor,lr,start_time,test_accuracy,test_average_precision,reduced,test_balanced_accuracy,record,softmax,execution_time,augment_prob,cosine,pretrained,accuracy,best_iteration,feature_extractor,model,n_iterations,n_shot,n_way,optimizer,task,augment,base_classes,eval_period,train_n_way,checkpoint_dir,comment,full_name,output_dir,screen_name,session_dir,test_ts_steps,train_ts_steps,all_global_prototypes,image_size,balanced_batches,val_batch_size,dataset_classes
0,Null,To make data frame not empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ResNet18GTSRB_050385-10-33-22-18-10-2019,,ResNet18,256.0,GTSRB,40.0,1.0,0.001,Fri Oct 18 22:33:10 2019,0.3189262354651163,0.20661256685900647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ResNet18GTSRB_378189-37-02-23-18-10-2019,,ResNet18,256.0,GTSRB,40.0,0.0,0.001,Fri Oct 18 23:02:37 2019,0.7683793604651163,0.7970426965466424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ResNet18CIFAR10_589603-42-34-23-18-10-2019,,ResNet18,256.0,CIFAR10,40.0,1.0,0.001,Fri Oct 18 23:34:42 2019,0.45087890625,0.3766949557011957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ResNet18CIFAR10_901102-50-51-23-18-10-2019,,ResNet18,256.0,CIFAR10,40.0,0.0,0.001,Fri Oct 18 23:51:50 2019,0.73349609375,0.7553865611053221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ResNet18_100%_CIFAR10_788687-40-29-20-19-10-2019,,ResNet18,256.0,CIFAR10,50.0,1.0,0.001,Sat Oct 19 20:29:40 2019,0.35244140625,,1.0,0.3487874978636741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ResNet18_100%_CIFAR10_455143-41-07-00-20-10-2019,,ResNet18,256.0,CIFAR10,2.0,1.0,0.001,Sun Oct 20 00:07:41 2019,0.127734375,,1.0,0.1279194313833383,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ResNet18_100%_CIFAR10_784331-01-10-00-20-10-2019,,ResNet18,256.0,CIFAR10,2.0,1.0,0.001,Sun Oct 20 00:10:01 2019,0.1224609375,,1.0,0.1216698877458215,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ResNet18_90%_CIFAR10_723078-17-11-00-20-10-2019,,ResNet18,230.0,CIFAR10,2.0,1.0,0.001,Sun Oct 20 00:11:17 2019,0.10402173913043478,,0.9,0.10485692393981046,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ResNet18_100%_GTSRB_067456-54-13-00-20-10-2019,,ResNet18,256.0,GTSRB,2.0,1.0,0.001,Sun Oct 20 00:13:54 2019,0.03858103197674419,,1.0,0.033688305721781456,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
